Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;CODE;Unnamed: 15;Unnamed: 16;No Volume;Unnamed: 18;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales
DENAIN;73;3000.0;MOULINS;3;190;3190;;;;;124,01;;;;;;;;;3;2;Appartement;;77;3
LES CHENEVRIERS;79;4400.0;ENCHASTRAYES;4;73;4073;;;;;24,32;;;;;;;;;1;2;Appartement;;25;1
DE L ENGIEN;78;4500.0;RIEZ;4;166;4166;;;;;106,43;;;;;;;;;3;2;Appartement;;133;4
DU DOCTEUR ROBERT;77;4200.0;SISTERON;4;209;4209;;;;;32,89;;;;;;;;;1;2;Appartement;;33;1
NIQUET;204;6600.0;ANTIBES;6;4;6004;;;;;37,66;;;;;;;;;1;2;Appartement;;41;2
DE SAINT LAURENT;226;6800.0;CAGNES SUR MER;6;27;6027;;;;;58,42;;;;;;;;;1;2;Appartement;;58;3
ROSSINI;142;6000.0;NICE;6;88;6088;;;;;99,04;;;;;;;;;2;2;Appartement;;98;4
LAMARTINE;142;6000.0;NICE;6;88;6088;;;;;30,2;;;;;;;;;1;2;Appartement;;95;3
VALROSE;144;6100.0;NICE;6;88;6088;;;;;68,75;;;;;;;;;2;2;Appartement;;68;3
VICTOR CAUVIN;162;6230.0;VILLEFRANCHE-SUR-MER;6;159;6159;;;;;56,05;;;;;;;;;1;2;Appartement;;58;2
DU CHANT DE L ALOUETTE;278;10100.0;ROMILLY SUR SEINE;10;323;10323;;;;;55,5;;;;;;;;;1;2;Appartement;;52;3
DU 14 JUILLET;328;13470.0;CARNOUX-EN-PROVENCE;13;119;13119;;;;;53,09;;;;;;;;;1;2;Appartement;;51;3
FRANCIS DAVSO;315;13001.0;MARSEILLE 1ER;13;201;13201;;;;;48,24;;;;;;;;;1;2;Appartement;;50;2
BOSCARY;314;13004.0;MARSEILLE 4EME;13;204;13204;;;;;28,4;;;;;;;;;1;2;Appartement;;30;1
CRUDERE;324;13006.0;MARSEILLE 6EME;13;206;13206;;;;;51,01;;;;;;;;;1;2;Appartement;;51;3
GUSTAVE GANAY;325;13009.0;MARSEILLE 9EME;13;209;13209;;;;;51,54;;;;;;;;;1;2;Appartement;;52;3
AUX NAMPS;363;14000.0;CAEN;14;118;14118;;;;;34,83;;;;;;;;;1;2;Appartement;;59;2
PESTEL;367;14600.0;HONFLEUR;14;333;14333;;;;;12,44;;;;;;;;;1;2;Appartement;;13;1
P CASSAGNAVERE;368;14360.0;TROUVILLE-SUR-MER;14;715;14715;;;;;53,76;;;;;;;;;1;2;Appartement;;53;2
CHARLES KOECHLIN;370;14640.0;VILLERS-SUR-MER;14;754;14754;;;;;52,82;;;;;;;;;1;1;Maison;;32;2
DENFERT ROCHEREAU;390;17000.0;LA ROCHELLE;17;300;17300;;;;;32,18;;;;;;;;;1;2;Appartement;;33;1
DES MENDRIES;389;17138.0;SAINT-XANDRE;17;414;17414;;;;;49,9;;;;;;;;;1;1;Maison;;50;3
DE LA HAUTE RIVE;460;22300.0;LANNION;22;113;22113;;;;;68,3;;;;;;;;;3;2;Appartement;;67;4
ANATOLE LE BRAZ;459;22700.0;PERROS-GUIREC;22;168;22168;;;;;54,42;;;;;;;;;1;2;Appartement;;57;2
DE L ATLANTIQUE;431;22000.0;SAINT-BRIEUC;22;278;22278;;;;;64;;;;;;;;;2;2;Appartement;;64;4
DAUMESNIL;468;24000.0;PERIGUEUX;24;322;24322;;;;;31,05;;;;;;;;;1;2;Appartement;;33;1
DES GOUILLOTTES;482;25410.0;SAINT VIT;25;527;25527;;;;;127,96;;;;;;;;;4;2;Appartement;;147;5
DU FAUBOURG ST JEAN;564;28000.0;CHARTRES;28;85;28085;;;;;106,03;;;;;;;;;1;1;Maison;;105;5
THEAULON;664;30220.0;AIGUES-MORTES;30;3;30003;;;;;32,29;;;;;;;;;1;2;Appartement;;50;2
DE BILINA;722;30100.0;ALES;30;7;30007;;;;;39,5;;;;;;;;;1;2;Appartement;;39;2
DES ANEMONES;663;30240.0;LE GRAU DU ROI;30;133;30133;;;;;20;;;;;;;;;1;2;Appartement;;19;1
ARNAVIELLE;665;30900.0;NIMES;30;189;30189;;;;;60,07;;;;;;;;;1;2;Appartement;;60;3
DAUMESNIL;774;32000.0;AUCH;32;13;32013;;;;;54;;;;;;;;;2;2;Appartement;;57;2
DE LA REPUBLIQUE;817;33510.0;ANDERNOS-LES-BAINS;33;5;33005;;;;;44,12;;;;;;;;;1;2;Appartement;;44;2
DU TONDU;783;33000.0;BORDEAUX;33;63;33063;;;;;61,16;;;;;;;;;1;2;Appartement;;60;4
DES HIRONDELLES;785;33520.0;BRUGES;33;75;33075;;;;;86,3;;;;;;;;;1;1;Maison;;86;4
LAURENT FIGNON;802;33140.0;VILLENAVE D ORNON;33;550;33550;;;;;39,23;;;;;;;;;1;2;Appartement;;45;2
PASTEUR;904;34540.0;BALARUC LES BAINS;34;23;34023;;;;;24,6;;;;;;;;;1;2;Appartement;;24;1
HENRI HERTZ;1037;37100.0;TOURS;37;261;37261;;;;;42,2;;;;;;;;;1;2;Appartement;;42;2
DES ERABLES;1035;37000.0;TOURS;37;261;37261;;;;;63,1;;;;;;;;;1;2;Appartement;;70;3
DOYEN GOSSE;1103;38600.0;FONTAINE;38;169;38169;;;;;21;;;;;;;;;3;2;Appartement;;20;1
BIR HAKEIM;1054;38000.0;GRENOBLE;38;185;38185;;;;;95,74;;;;;;;;;2;2;Appartement;;95;3
DE LA MUZELLE MT DE LANS;1098;38860.0;LES DEUX ALPES;38;253;38253;;;;;60,55;;;;;;;;;1;2;Appartement;;62;3
GABRIELE  D ANNUNZIO;1172;40600.0;BISCARROSSE;40;46;40046;;;;;29,78;;;;;;;;;1;1;Maison;;25;1
VICTOR HUGO;1157;40100.0;DAX;40;88;40088;;;;;18,63;;;;;;;;;1;2;Appartement;;19;1
DU MARENSIN;1166;40150.0;SOORTS-HOSSEGOR;40;304;40304;;;;;82,35;;;;;;;;;1;1;Maison;;47;3
DES GREFFIERS;1233;42680.0;SAINT-MARCELLIN-EN-FOREZ;42;256;42256;;;;;94,39;;;;;;;;;1;1;Maison;;93;4
DE L EGALITE;1280;44100.0;NANTES;44;109;44109;;;;;62,14;;;;;;;;;2;2;Appartement;;64;3
BONNE GARDE;1278;44230.0;ST SEBASTIEN SUR LOIRE;44;190;44190;;;;;47,34;;;;;;;;;2;2;Appartement;;47;2
PAUL VERLAINE;1284;44470.0;THOUARE-SUR-LOIRE;44;204;44204;;;;;42,25;;;;;;;;;1;2;Appartement;;42;2
SAINT VINCENT;1356;45000.0;ORLEANS;45;234;45234;;;;;65,71;;;;;;;;;1;2;Appartement;;65;3
DES ERABLES;1360;45650.0;SAINT-JEAN-LE-BLANC;45;286;45286;;;;;72,37;;;;;;;;;1;2;Appartement;;69;1
DE COUTANCES;1445;50180.0;AGNEAUX;50;2;50002;;;;;57,88;;;;;;;;;1;2;Appartement;;47;2
DES CARMELITES;1488;51100.0;REIMS;51;454;51454;;;;;119,95;;;;;;;;;1;2;Appartement;;121;4
DES SOEURS MACARONS;1512;54000.0;NANCY;54;395;54395;;;;;36,6;;;;;;;;;1;2;Appartement;;38;2
DE PORH MEN GUEN;1580;56680.0;GAVRES;56;62;56062;;;;;97,51;;;;;;;;;1;2;Appartement;;105;3
SIMONE;1626;59110.0;LA MADELEINE;59;368;59368;;;;;80,09;;;;;;;;;2;2;Appartement;;80;3
JEAN JAURES;1667;59700.0;MARCQ EN BAROEUL;59;378;59378;;;;;29,73;;;;;;;;;1;1;Maison;;30;2
HENRI DURRE;1690;59590.0;RAISMES;59;491;59491;;;;;153,25;;;;;;;;;1;1;Maison;;139;5
AMPERE;1718;60200.0;COMPIEGNE;60;159;60159;;;;;41;;;;;;;;;1;2;Appartement;;37;1
DU GENERAL MANGIN;1718;60200.0;COMPIEGNE;60;159;60159;;;;;220,72;;;;;;;;;1;1;Maison;;210;8
JEAN DE LA FONTAINE;1719;60280.0;MARGNY LES COMPIEGNE;60;382;60382;;;;;30,38;;;;;;;;;1;2;Appartement;;30;2
JACQUES CARTIER;1699;60110.0;MERU;60;395;60395;;;;;72,91;;;;;;;;;1;2;Appartement;;74;4
DE LA GARE;1710;60290.0;RANTIGNY;60;524;60524;;;;;67,47;;;;;;;;;1;2;Appartement;;68;3
GRAND PLACE;1776;62000.0;ARRAS;62;41;62041;;;;;45,5;;;;;;;;;1;2;Appartement;;45;2
HIPPOLYTE GOMOT;1816;63200.0;RIOM;63;300;63300;;;;;62,72;;;;;;;;;1;2;Appartement;;47;2
DE LA GARE;1905;69250.0;ALBIGNY-SUR-SAONE;69;3;69003;;;;;108,84;;;;;;;;;1;2;Appartement;;109;4
DES COLLONGES;1952;69230.0;SAINT-GENIS-LAVAL;69;204;69204;;;;;43,25;;;;;;;;;1;2;Appartement;;43;2
ETIENNE POULET;2007;69400.0;VILLEFRANCHE;69;264;69264;;;;;78,72;;;;;;;;;1;2;Appartement;;71;3
SAINT PIERRE DE VAISE;1910;69009.0;LYON 9EME;69;389;69389;;;;;32,82;;;;;;;;;1;2;Appartement;;38;1
DE LA RHODIACETA;1910;69009.0;LYON 9EME;69;389;69389;;;;;75,31;;;;;;;;;1;2;Appartement;;75;3
DE LA BANQUE;2038;70000.0;VESOUL;70;550;70550;;;;;75,87;;;;;;;;;2;2;Appartement;;76;4
D ALSACE LORRAINE;2038;70000.0;VESOUL;70;550;70550;;;;;168,38;;;;;;;;;1;2;Appartement;;106;4
DES MOULINS;2168;74300.0;ARACHES LA FRASSE;74;14;74014;;;;;21,29;;;;;;;;;1;2;Appartement;;21;1
DE LA SAUGE;2195;74500.0;SAINT-PAUL-EN-CHABLAIS;74;249;74249;;;;;76,14;;;;;;;;;1;2;Appartement;;76;3
SAINT DENIS;3214;75002.0;PARIS 02;75;102;75102;;;;;36,91;;;;;;;;;1;2;Appartement;;37;3
DE SAINTONGE;3195;75003.0;PARIS 03;75;103;75103;;;;;66;;;;;;;;;1;2;Appartement;;12;1
SAINT PAUL;3213;75004.0;PARIS 04;75;104;75104;;;;;25,34;;;;;;;;;1;2;Appartement;;25;2
DES BOULANGERS;3200;75005.0;PARIS 05;75;105;75105;;;;;21,34;;;;;;;;;2;2;Appartement;;20;1
DE BUCI;3198;75006.0;PARIS 06;75;106;75106;;;;;28,55;;;;;;;;;1;2;Appartement;;28;1
COGNACQ JAY;3199;75007.0;PARIS 07;75;107;75107;;;;;82,62;;;;;;;;;2;2;Appartement;;83;3
CLAUDE VELLEFAUX;3201;75010.0;PARIS 10;75;110;75110;;;;;30,18;;;;;;;;;1;2;Appartement;;31;2
PLICHON;3203;75011.0;PARIS 11;75;111;75111;;;;;58,45;;;;;;;;;2;2;Appartement;;56;3
PHILIPPE AUGUSTE;3203;75011.0;PARIS 11;75;111;75111;;;;;31,12;;;;;;;;;2;2;Appartement;;30;2
TRAVERSIERE;3204;75012.0;PARIS 12;75;112;75112;;;;;44,95;;;;;;;;;1;2;Appartement;;50;2
DE L ABBE CARTON;3206;75014.0;PARIS 14;75;114;75114;;;;;25,06;;;;;;;;;1;2;Appartement;;26;1
MARMONTEL;3207;75015.0;PARIS 15;75;115;75115;;;;;37,38;;;;;;;;;2;2;Appartement;;37;2
EMERIAU;3207;75015.0;PARIS 15;75;115;75115;;;;;99,96;;;;;;;;;3;2;Appartement;;97;6
LEGENDRE;3209;75017.0;PARIS 17;75;117;75117;;;;;63,16;;;;;;;;;1;2;Appartement;;75;3
MSTISLAV ROSTROPOVITCH;3209;75017.0;PARIS 17;75;117;75117;;;;;47,12;;;;;;;;;1;2;Appartement;;47;2
LEPIC;3210;75018.0;PARIS 18;75;118;75118;;;;;53,01;;;;;;;;;1;2;Appartement;;50;3
DUHESME;3210;75018.0;PARIS 18;75;118;75118;;;;;52,46;;;;;;;;;2;2;Appartement;;51;3
DAMREMONT;3210;75018.0;PARIS 18;75;118;75118;;;;;52,24;;;;;;;;;2;2;Appartement;;50;2
DES POISSONNIERS;3210;75018.0;PARIS 18;75;118;75118;;;;;29,13;;;;;;;;;1;2;Appartement;;30;2
DE TORCY;3210;75018.0;PARIS 18;75;118;75118;;;;;67,8;;;;;;;;;2;2;Appartement;;68;3
HENRI CHEVREAU;3211;75020.0;PARIS 20;75;120;75120;;;;;21,01;;;;;;;;;2;2;Appartement;;25;1
MICHEL DUBOSC;2229;76600.0;LE HAVRE;76;351;76351;;;;;19,9;;;;;;;;;1;2;Appartement;;20;1
HENRY LEMONNIER;2232;76290.0;MONTIVILLIERS;76;447;76447;;;;;45,84;;;;;;;;;2;2;Appartement;;30;1
ROBERT DE THORIGNY;2211;76130.0;MONT-SAINT-AIGNAN;76;451;76451;;;;;39,3;;;;;;;;;2;2;Appartement;;39;2
DU GENERAL DE GAULLE;2352;77410.0;ANNET-SUR-MARNE;77;5;77005;;;;;32,99;;;;;;;;;1;2;Appartement;;29;2
REMY DUMONCEL;2290;77210.0;AVON;77;14;77014;;;;;24,06;;;;;;;;;2;2;Appartement;;25;1
KONRAD ADENAUER;2348;77600.0;BUSSY-SAINT-GEORGES;77;58;77058;;;;;53,6;;;;;;;;;1;2;Appartement;;53;2
DU GENERAL DE GAULLE;2348;77600.0;BUSSY-SAINT-GEORGES;77;58;77058;;;;;31,42;;;;;;;;;1;2;Appartement;;31;1
DE CHAMPAGNE;2359;77600.0;BUSSY-SAINT-MARTIN;77;59;77059;;;;;111,15;;;;;;;;;1;1;Maison;;102;5
DU PETIT MARGAT;2317;77610.0;FONTENAY-TRESIGNY;77;192;77192;;;;;60,25;;;;;;;;;1;2;Appartement;;60;3
DU GAZON;2347;77230.0;LONGPERRIER;77;259;77259;;;;;75,06;;;;;;;;;1;1;Maison;;76;4
LOUVIOT;2256;77000.0;MELUN;77;288;77288;;;;;33,49;;;;;;;;;1;2;Appartement;;33;2
DE VAUX;2256;77000.0;MELUN;77;288;77288;;;;;44,94;;;;;;;;;1;2;Appartement;;45;2
DU TEMPLE;2400;77160.0;PROVINS;77;379;77379;;;;;66,54;;;;;;;;;1;2;Appartement;;76;3
DE POISSY;2456;78260.0;ACHERES;78;5;78005;;;;;42,2;;;;;;;;;1;2;Appartement;;42;2
DES AUBADES;2420;78160.0;MARLY-LE-ROI;78;372;78372;;;;;67,6;;;;;;;;;2;2;Appartement;;66;4
DE LA SABOTTE;2420;78160.0;MARLY-LE-ROI;78;372;78372;;;;;53,05;;;;;;;;;2;2;Appartement;;55;3
DU JURANCON;2495;78310.0;MAUREPAS;78;383;78383;;;;;27,81;;;;;;;;;2;2;Appartement;;28;1
